blorg pressure cm,weight g,height cm,mouth length mm,body diameter cm,Species
4.208527332694022,3.4172742419672155,20.218655527738672,,406.51964985823395,Bob's dog
5.2526815284230866,-0.014182033271908256,21.093716401001434,,397.7403585427785,Bob's dog
1.4418727956175545,0.2967277263460266,24.37524965132762,,88.9555848749104,Bob's dog
4.199549384547984,0.880268416925341,-1.8836605697744946,,522.0275753595091,Bob's dog
4.549499701300141,1.4693733663242896,7.173489535524422,,413.9305057364571,Bob's dog
3.713975949904509,-0.18111137695660062,6.736831292026588,,290.35001009280165,Bob's dog
4.166558954040456,4.111723125753342,9.526007502452192,,323.00862343491457,Bob's dog
3.7798180525593015,2.3256894793377136,22.494528686148648,,325.0016342933702,Bob's dog
3.9717106004517087,3.299266595326071,13.352607704191982,,200.89298976412,Bob's dog
4.12112084190745,1.3224187140887365,21.45484569619647,,509.77624751197624,Bob's dog
6.267094631899695,2.586772050857046,15.462624536157179,4043.0419449360647,491.86728858171165,Bob's dog
3.4527238216128224,2.88309725026,6.896277178838556,,121.44843802496013,Bob's dog
4.700966449552183,,1.9309766414756624,,312.50315438631236,Bob's dog
1.3776817347525736,0.2912236732136071,22.18308631181454,,133.8354575193951,Bob's dog
4.677755672928622,,14.794294082114893,,464.23638463553766,Bob's dog
4.1250144395900605,2.4820903833966934,0.3217033081197451,,353.6905712150159,Bob's dog
1.9777233656534368,-0.6185067650921701,-2.087990781315774,,164.27171945984293,Bob's dog
4.463663989450515,4.022437933715233,8.114853276595875,,520.8277248183063,Bob's dog
3.8952788673739427,-0.4076994327787524,15.8251215815907,,363.99468557133525,Bob's dog
3.558176251399774,-0.3812382326022714,25.048278377058008,,265.45502290800096,Bob's dog
4.191716469759362,1.5876678048741573,23.39847615091832,,418.17058161031645,Bob's dog
2.0919200797043467,-1.2263422328222366,31.71015536620533,,174.14919299397357,Bob's dog
3.600812327566862,2.0180555082510145,13.892267533168168,,252.50403684152852,Bob's dog
